neighbourhood group,Average of price,room type
Bronx,620.2473670042859,Entire home/apt
Bronx,634.6866362181651,Private room
Bronx,600.2564102564103,Shared room
Brooklyn,626.8658885317125,Entire home/apt
Brooklyn,736.125,Hotel room
Brooklyn,625.8579745583255,Private room
Brooklyn,634.262240562384,Shared room
Manhattan,623.1185029614663,Entire home/apt
Manhattan,681.87,Hotel room
Manhattan,620.3772570196659,Private room
Manhattan,632.4981356983244,Shared room
Queens,627.025943646777,Entire home/apt
Queens,433.25,Hotel room
Queens,631.7971092576271,Private room
Queens,645.3066298342542,Shared room
Staten Island,642.1566871155978,Entire home/apt
Staten Island,603.5934321579116,Private room
Staten Island,715.6,Shared room
